container;schiff;sea_etd_pol;sea_eta_pod;sea_dat_ank_hafen;sea_dat_cont_entl;sea_dat_abf_hafen;sea_dat_ank_vz;pod_id;pod_name;pod_land
HLBU3284461;AL NASRIYAH;27.11.2020 00:00;12.01.2021 00:00;12.01.2021 00:00;13.01.2021 00:00;18.01.2021 00:00;;;;
MSKU6283599;MILAN MAERSK;24.11.2020 00:00;26.12.2020 00:00;29.12.2020 00:00;29.12.2020 00:00;22.01.2021 00:00;27.01.2021 00:00;;;
MRKU0657914;MSC PALOMA;08.11.2020 00:00;10.12.2020 00:00;10.12.2020 00:00;11.12.2020 00:00;04.01.2021 00:00;06.01.2021 00:00;;;
CGMU5409490;COSCO SHIPPING LIBRA;21.08.2020 00:00;06.10.2020 00:00;06.10.2020 00:00;06.10.2020 00:00;10.10.2020 00:00;19.10.2020 00:00;;;
MRKU7869258;MSC NEW YORK;16.10.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;20.12.2020 00:00;31.12.2020 00:00;;;
TGHU1905140;MSC SVEVA;02.11.2020 00:00;30.11.2020 00:00;02.12.2020 00:00;02.12.2020 00:00;03.12.2020 00:00;16.12.2020 00:00;;;
APHU7383295;COSCO DENMARK;16.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;14.12.2020 00:00;17.12.2020 00:00;30.12.2020 00:00;;;
MSCU4863114;MSC GULSUN;01.11.2020 00:00;01.12.2020 00:00;01.12.2020 00:00;01.12.2020 00:00;04.12.2020 00:00;09.12.2020 00:00;;;
FCIU6659720;HMM SOUTHAMPTON;24.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;22.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
PONU1812030;MSC VALERIA;04.12.2020 00:00;08.01.2021 00:00;08.01.2021 00:00;10.01.2021 00:00;12.01.2021 00:00;20.01.2021 00:00;;;
TGBU5073690;CMA CGM MOLIERE;17.11.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;24.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
TCKU6603640;MADRID MAERSK;13.11.2020 00:00;11.12.2020 00:00;11.12.2020 00:00;12.12.2020 00:00;21.12.2020 00:00;31.12.2020 00:00;;;
4861-0746-010.013;NYK VENUS;11.11.2020 00:00;16.12.2020 00:00;16.12.2020 00:00;27.12.2020 00:00;27.12.2020 00:00;28.12.2020 00:00;;;
UACU4055441;BARZAN;11.11.2020 00:00;28.12.2020 00:00;28.12.2020 00:00;30.12.2020 00:00;07.01.2021 00:00;19.01.2021 00:00;;;
4352-0746-011.017;NYK VIRGO;03.12.2020 00:00;10.01.2021 00:00;12.01.2021 00:00;18.01.2021 00:00;27.01.2021 00:00;21.01.2021 00:00;;;
MSMU7794110;MSC AMBRA;06.12.2020 00:00;09.01.2021 00:00;10.01.2021 00:00;10.01.2021 00:00;13.01.2021 00:00;19.01.2021 00:00;;;
TCLU6166039;LINAH;17.11.2020 00:00;22.12.2020 00:00;22.12.2020 00:00;23.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
CAIU3436469;MSC MIA;12.11.2020 00:00;15.12.2020 00:00;15.12.2020 00:00;16.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
FSCU8249468;HMM ALGECIRAS;10.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;14.12.2020 00:00;17.12.2020 00:00;31.12.2020 00:00;;;
HAMU1306108;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;20.12.2020 00:00;22.12.2020 00:00;06.01.2021 00:00;;;
CMAU6205321;CMA CGM MOLIERE;17.11.2020 00:00;22.12.2020 00:00;24.12.2020 00:00;24.12.2020 00:00;05.01.2021 00:00;14.01.2021 00:00;;;
UACU3678339;AL MURABBA;26.11.2020 00:00;31.12.2020 00:00;31.12.2020 00:00;02.01.2021 00:00;08.01.2021 00:00;;;;
ECMU4453194;CMA CGM CHAMPS ELYSEES;05.11.2020 00:00;05.12.2020 00:00;08.12.2020 00:00;08.12.2020 00:00;10.12.2020 00:00;;;;
UACU5210270;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
YMLU3511878;HMM ALGECIRAS;13.11.2020 00:00;13.12.2020 00:00;13.12.2020 00:00;15.12.2020 00:00;17.12.2020 00:00;30.12.2020 00:00;;;
HLXU6574754;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;15.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
TTNU1293154;MARCHEN MAERSK;22.12.2020 00:00;18.01.2021 00:00;18.01.2021 00:00;19.01.2021 00:00;26.01.2021 00:00;03.02.2021 00:00;;;
GLDU5551500;APL SINGAPURA;10.11.2020 00:00;18.12.2020 00:00;18.12.2020 00:00;19.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
TCLU8089245;SALAHUDDIN;11.11.2020 00:00;07.12.2020 00:00;16.12.2020 00:00;17.12.2020 00:00;18.12.2020 00:00;31.12.2020 00:00;;;
DRYU4041309;APL SINGAPURA;10.11.2020 00:00;18.12.2020 00:00;18.12.2020 00:00;19.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
TCNU4409100;CMA CGM TITUS;13.12.2020 00:00;29.12.2020 00:00;30.12.2020 00:00;30.12.2020 00:00;05.01.2020 00:00;14.01.2021 00:00;;;
SEGU2050606;HMM SOUTHAMPTON;19.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
UACU8243771;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
HLXU1415960;HMM SOUTHAMPTON;24.11.2020 00:00;21.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;27.12.2020 00:00;13.01.2021 00:00;;;
UACU8593738;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;22.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
UACU8436852;ONE EAGLE;15.11.2020 00:00;19.12.2020 00:00;19.12.2020 00:00;21.12.2020 00:00;23.12.2020 00:00;06.01.2021 00:00;;;
